Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
Denner Oliveira ♠️;denneroliver42;2022-09-14 00:58:16+00:00;Luva de pedreiro desiste de tudo eu também queria desistir de tudo, aí lembro que não tenho nada 🥲👍🏻;0;0;0
fantasmito;EdwynSucks_;2022-09-14 00:57:49+00:00;"Apoio o Luva de Pedreiro querer viver na paz e no sossego
Ser influencer do tamanho que ele é deve ser mto difícil";0;0;0
𝓥𝓲𝓽𝓸𝔁𝓲𝓬;VitorCesariano;2022-09-14 00:57:40+00:00;E o Gabigol que roubou o Luva de Pedreiro?;0;0;0
Luiza;patbatemanstan;2022-09-14 00:57:25+00:00;Foi só o Allan Jesus sair que a carreira do Luva de Pedreiro acaba 🤔 https://t.co/sFRRgKE28v;0;23;2
Galismo Cultural🔺;Galismo_Galo;2022-09-14 00:57:13+00:00;"Luva de pedreiro ganhou na mega-sena e vai sumir neblina

errado num tá";0;0;0
Inocente;inocente;2022-09-14 00:55:57+00:00;@luvadepedreiro prefere ficar na metade do campo onde a vida acontece. https://t.co/qXot2gZrGL;0;1;1
Vanessa Lima1️⃣3️⃣;LimaVanessa;2022-09-14 00:55:23+00:00;@Ma_Campelo @luvadepedreiro Eu faria o mesmo.;0;0;0
DAVY CAMACHHO 👁️;Davycamachho;2022-09-14 00:55:16+00:00;"@luvadepedreiro Não desiste não .
Vc é incrivel";0;1;0
Fluffy;TretaNewsBR;2022-09-14 00:54:07+00:00;"Luva de Pedreiro deleta vídeos e abandona carreira, Felipe Neto se revolta com Jornalista
https://t.co/scDoYOtSEW";0;2;0
AfronTosa;Afron__tosa;2022-09-14 00:53:50+00:00;"Luva de pedreiro resolve encerrar sua trajetória.

"" Estou exausto, cansado e a decisão foi minha ""

E aí o que vocês acharam ? https://t.co/F6lyvU5vJn";0;0;0
Marina Andrade;damarinaandrade;2022-09-14 00:53:45+00:00;Luva de Pedreiro detestando a fama é um sopro de sanidade ventilando as delícias de existir no anonimato. Que tenha acumulado dinheiro suficiente para se esconder em paz e em conforto na pacata Quijingue dele. Receba, garoto!;0;18;2
Alessandro Temperini;aletp;2022-09-14 00:53:43+00:00;@luvadepedreiro RECEBA essa dica. https://t.co/SO0sszdjUv;0;0;0
pedrão 🇧🇷;pedrohpk_;2022-09-14 00:53:13+00:00;luva de pedreiro viajou;0;0;0
diamba motopapi;jotavizz;2022-09-14 00:52:18+00:00;não entendi o luva de pedreiro… aposentar que carreira de influencer? ele era influencer real?;0;0;0
Eng Eletricista;Analista__BR;2022-09-14 00:52:10+00:00;@otavi0XI Mais um devaneio coletivo no Brasil. Então sai Luva de pedreiro e entra Bora Bill.;0;0;0
Gabriel;G4biel_l;2022-09-14 00:50:05+00:00;Crlh o Luva de pedreiro desistiu da carreira;0;0;0
