Usuario;TagNick;DataPost;Texto;Comentarios;Likes;Retweets
Arthur🇺🇦;sashyx1;2022-11-22 01:29:30+00:00;@futebol_info @geglobo Mas qm sou eu né?! Prof Tite saberá oq faz;0;0;0
Luan;Luanxavierr9;2022-11-22 01:29:23+00:00;@falasantin Tite acertou em cheio. O time é esse;0;1;0
kika;bualadhboz;2022-11-22 01:29:22+00:00;Não quero me iludir que o Tite vai realmente escalar o melhor 11 que ele tem https://t.co/jx53bmHUZX;0;0;0
Nathan;nathanmarzulo;2022-11-22 01:29:01+00:00;Duvido, duvido muito do Tite abrir mão de um volante ou recuar o Paquetá. Ele tem loucura pelo Fred https://t.co/yoEUeVlxY3;0;0;0
BRAZILWASSTOLEN;BrazilWStolen;2022-11-22 01:28:38+00:00;@ArnaldoJRibeiro CARA FAZ O. L. PREFERE VER O BRASIL SE FERRAR. IDIOTA. BRASIL VAI GANHAR E VAI PARA BRASÍLIA SER RECEBIDOS PELO BOLSONARO SEM. O TITE;0;0;0
Flamengo 🇧🇷;FlamengoBraziI;2022-11-22 01:28:29+00:00;@marcelaelaela Amigos do Tite;0;0;0
Dudu 🙂;dudu_reiss;2022-11-22 01:28:20+00:00;"Tite faz um treino FECHADO pra não divulgar escalação
Imprensa: ummmm vou divulgar";0;0;0
salve o corinthians;Zaifo_;2022-11-22 01:28:19+00:00;@Selecaoinfo @geglobo eu como um bom fã de 3-4-3 ax q deveria trocar alex sandro por bruno guimarães e danilo por eder militao nesse pique, ai qq coisa o bruno e/ou o Casemiro desce p cobrir a lateral tlg, eh tipo aql escalação q o tite usou uma vez num amistoso n lembro contra qm soq usando o bruno https://t.co/bvKEMZ4uSe;0;0;0
⍟⍟⍟⍟ Clara ⍟⍟⍟;clarapralon;2022-11-22 01:27:46+00:00;@bonapetista dona Tite tem mó cara de deputada por algum partido do centrão;0;0;0
Rayan;Rayan63430235;2022-11-22 01:27:43+00:00;"Parabéns Tite Kubo, Parabéns👏👏👏
Bleach me ajudou em muitas fases da minha vida, não vou mencionar elas, mas....eu sou muito grato por essa ajuda";0;0;0
Flamengo Em Baixa Qualidade 🇧🇷;Fla100Qualidade;2022-11-22 01:27:41+00:00;Talvez o Paquetá seja um dos melhores jogadores desse ciclo final do Tite na seleção, encaixou quase perfeitamente com o Neymar, quase nunca joga mal, e ainda sim é questionado por muitos, eu simplesmente não consigo entender;1;62;2
mãe do Lucas;spfckaroline_;2022-11-22 01:27:27+00:00;Seleção do Tite só faltou convocar o MC Rick, que só joga sem chuteira e mete bola com apetite;0;0;0
davigol;filhodeagnaldo;2022-11-22 01:27:25+00:00;vou cometer um crime se o tite botar raphinha de titular;0;0;0
ma 🚂;malukhlr;2022-11-22 01:27:25+00:00;vai que o chefe tite me coloca pra jogar né 🫡🫡 https://t.co/ueT3DlqTrS;0;0;0
PUCHOBECK;WilliamAlv3s;2022-11-22 01:27:12+00:00;Lembrando que o Muricy poderia estar nessa comissão técnica do Tite...;0;0;0
Caralinho pistola;canariopistolac;2022-11-22 01:26:47+00:00;@Phellipe_2727 @Selecaoinfo @geglobo Tirou o sistema defensivo do tite pra merda agr em KKKKKKKK;0;0;0
Ricardo Siqueira 🇵🇹;himynameisriick;2022-11-22 01:26:41+00:00;"@futtmais @geglobo Rapaz, o Tite tá achando que é FIFA? 

Ou pode dar MUITO certo, ou pode dar MUITO errado. Não vejo um meio termo aí não.

Vamos torcer para que seja a primeira opção.";0;0;0
theus;sylvinhopardo;2022-11-22 01:26:38+00:00;porra thiago silva titular smt tite https://t.co/Bm5ecj6ntf;0;0;0
Cxstx;viniciuscostal7;2022-11-22 01:25:44+00:00;Kakakakaa Tite ta pras foda filho https://t.co/V8L4w98Al9;0;0;0
ws;04wendell;2022-11-22 01:25:36+00:00;@futtmais @geglobo qualquer escalação diferente dessa é loucura, espero que tite não invente nada mais;0;0;0
fe✋😝🤚;felipevitalee;2022-11-22 01:25:12+00:00;bruno guimarães no paqueta professor tite….. https://t.co/kTiKVLvYhI;0;1;0
estephany ᶜʳᶠ;EstephanyFenty_;2022-11-22 01:25:09+00:00;@choquei Tite vai meter sem lubrificante no cu da Sérvia;0;0;0
yuri 3000 🇾🇪;pinkmanyuri;2022-11-22 01:25:08+00:00;"o tite n vai meter essa po, nao na estreia

se for, é uma grande surpresa https://t.co/JWNNT4liyU";0;0;0
El Magro Brazᶜʳᶠ;lusca069;2022-11-22 01:24:56+00:00;Tite bem ousado pra estreia, mas gostei do time https://t.co/mBoBP5yYdF;0;0;0
loko;gbexazannn;2022-11-22 01:24:52+00:00;@futtmais @geglobo Agr q o tite colocou o vini vão reclamar q seleção tá mt aberta e se n coloca o vini dizem q é um absurdo, o brasileiro realmente n sabe oq quer pqp;0;0;0
Guilherme;guilherme_ricke;2022-11-22 01:24:50+00:00;"Só espero que o Tite não abra mão de suas convicções pra agradar a opinião pública como fez em 2018 quando desistiu do trio Casemiro, Paulinho e Renato Augusto que eram ""3 volantes"" pra escalar Coutinho e o Inominável da Premier League juntos https://t.co/LCBNURIdON";0;0;0
Falador de merda 😶🇧🇷;santricfilho;2022-11-22 01:24:48+00:00;Caralho o Tite vai botar o pau na mesa? https://t.co/0iADWjMAEv;0;0;0
Chafin;chafiinn_;2022-11-22 01:24:47+00:00;@ygfreitas_ Eu só vou acreditar que o Tite vai jogar p frente quando sair a escalação oficial kkkkk;0;0;0
Xavier;_ArthurXavier_;2022-11-22 01:24:31+00:00;"O Tite me ouviu... Gostei da provável hehehe

Não dá pra jogar com 2 volantes tendo Danilo e Alex Sandro no time https://t.co/GCm2yVMwr1";0;0;0
Pedro;HulCAMberg;2022-11-22 01:24:16+00:00;"1 volante o resto tudo ataca e fodase, Paqueta de “2° volante”

Isso mesmo Tite boa, não importa tomar 2 se fazer 5 https://t.co/1biYcaFYDX";0;0;0
Rafa 😳🔫;rafabombardelli;2022-11-22 01:23:44+00:00;"ninguém marca 
por favor tite cale a minha boca https://t.co/4GCMtI5xFS";0;0;0
edjota 4: baba yaga;sejavcmsmo;2022-11-22 01:23:30+00:00;"@Jo_SantoK90 ""kkkkk pqp o tite deixou o gabigol p levar esse ruim ai do jesus""";0;0;0
João;GolDoJoao;2022-11-22 01:23:25+00:00;"EU DUVIDO

mas se o professor Tite tiver coragem, ganhamo https://t.co/v9H0mKLcaP";0;0;0
FLN 🇧🇷⭐️6️⃣;NovoMVP;2022-11-22 01:23:17+00:00;Será? Não acredito no Tite usando esse time https://t.co/d9NNRpywC7;0;0;0
Lincoln;vaientenderviu;2022-11-22 01:23:14+00:00;"@ApFrancis_ @MinJulioCesar 🤣🤣🤣🤣🤣🤣🤣
Tem mais 1 mês para matar a saudade, aproveita aí. 
"" Brasil indo pra frente"" 🤣🤣🤣 
Só se for o Brasil de TiTe indo para o ataque contra o Mirassol.";0;0;0
Palestrinogoodvibes;Leandro12604784;2022-11-22 01:23:06+00:00;@RomarioOnze @neymarjr Servia 2 x 1 e qsf o tite;0;0;0
Marquin;MarcoSilva13f;2022-11-22 01:22:28+00:00;@CaberlonMarcelo 10 a 0 pro Brasil, todos os gols no segundo tempo quando o Tite tirar o Richarlison e o Raphinha;0;1;0
ڤيكتور 🇧🇷 🌐;jiyushori;2022-11-22 01:22:27+00:00;"Nem fodendo que o cagão do Tite vai colocar esse time pra jogar

EU DUVIDO https://t.co/3I1WYg2cWl";0;0;0
𝙳𝚎𝚎𝚡ˢᶜᶜᵖ 🇧🇷;Deex_sccp;2022-11-22 01:22:18+00:00;No Catar o Brasil foi Hexa porque o Tite não está muito bem https://t.co/cTPzuO2QH1;0;0;0
Cezar Castro 🇧🇷 🇺🇦;CezarCastro9;2022-11-22 01:22:04+00:00;#G4BandSports Na minha opinião o melhor jogador da Copa vai ser o Vinícius Junior. É só o Tite colocar ele no time titular que ele chama a responsabilidade pra ele e resolve os jogos.;0;0;0
eu mesmo🍥;eumesmo2024;2022-11-22 01:21:50+00:00;@choquei Eu como flamenguista não gostei do fato do tite não ter convocado o gabigol mas sim o neymar então nessa copa estarei torcendo pela Argentina. Vai Argentina!!! https://t.co/K39onMBUIb;0;3;1
